ZIP_CODE,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,
2056,111767,137649,
2061,106730,144569,
2062,72935,84347,
2066,92394,116245,
2067,117828,144691,
2071,91781,107426,
2072,69340,81997,
2081,92954,119375,
2090,116083,154504,
2093,94524,123596,
2108,96033,149809,
2109,92310,129015,
2110,102972,135093,
2111,31442,93529,
2113,60386,84170,
2114,69809,110095,
2115,30282,54356,
2116,80153,136491,
2118,51368,82360,
2119,36316,47419,
2120,28794,41569,
2121,28897,42271,
2122,45859,59863,
2124,43598,56611,
2125,44266,57482,
2126,51733,59320,
2127,64285,80697,
2128,42613,55095,
2129,80223,108709,
2130,69576,90455,
2131,62945,73124,
2132,76802,95567,
2134,33863,47915,
2135,52714,64682,
2136,54410,67054,
2138,68127,112348,
2139,62821,83356,
2140,65283,91656,
2141,57909,79408,
2142,61141,88669,
2143,64966,79417,
2144,68004,80579,
2145,50718,63041,
2148,55890,66741,
2149,49696,62187,
2150,40344,50098,
2151,51723,60340,
2152,68218,82769,
2155,69803,82586,
2163,23429,39215,
2169,56647,69210,
2170,64309,77390,
2171,66808,80719,
2176,85681,95604,
2180,78103,86637,
2184,77129,95668,
2186,98712,125636,
2188,65251,80495,
2189,62491,73956,
2190,74205,89585,
2191,68143,75926,
2199,68080,149005,
2203,106602,135049,
2210,61807,86291,
2215,30726,51218,
2301,48470,58674,
2302,62408,66149,
2322,67313,77494,
2324,80879,87642,
2330,70048,77569,
2332,116904,149633,
2333,82133,89922,
2339,104787,118371,
2341,81912,90515,
2343,62560,74251,
2346,72466,80698,
2347,94495,102487,
2351,75850,83124,
2356,99682,123583,
2357,101136,146319,
2359,83622,95280,
2360,74603,86753,
2364,78923,100027,
2366,89632,93117,
2367,87917,98668,
2368,65118,74837,
2370,62855,74684,
2375,78410,93429,
2379,73651,88014,
2382,77027,83066,
2420,139453,181881,
2421,126827,167894,
2445,105027,160933,
2446,67338,105307,
2451,78675,95995,
2452,67088,84728,
2453,59067,75080,
2457,179792,273410,
2458,90740,123497,
2459,128598,176962,
2460,107495,140026,
2461,110373,149143,
2462,134119,208054,
2464,81143,111517,
2465,110531,158982,
2466,115116,167280,
2467,130044,220734,
2468,166454,240445,
2472,74968,89065,
2474,82845,100434,
2476,83975,104445,
2478,95269,133543,
2481,173681,243579,
2482,123003,185218,
2492,118211,168697,
2493,147946,277514,
2494,104492,139639,
2532,60257,73420,
2534,60788,74722,
2535,68906,98197,
2536,61733,75012,
2537,86643,98309,
2538,54545,65412,
2539,67625,93683,
2540,58667,96888,
2542,39803,51101,
2543,82355,136359,
2553,70197,80940,
2554,61502,92073,
2556,67750,87409,
2557,59156,75430,
2558,51662,60627,
2559,62761,76026,
2561,68597,79039,
2562,68960,79286,
2563,84184,97817,
2564,81944,158042,
2568,516,691,
2571,55500,66214,
2575,68906,98197,
2576,62034,70428,
2584,81944,158042,
2601,44219,55017,
2630,71383,104286,
2631,58280,76849,
2632,67464,81140,
2633,65871,102922,
2635,75166,104492,
2637,71516,104499,
2638,56770,75909,
2639,47356,62216,
2641,61013,80493,
2642,59536,74408,
2643,62589,82230,
2644,82198,86837,
2645,55137,75251,
2646,52700,74549,
2647,47353,56686,
2648,71212,91677,
2649,62993,80307,
2650,64477,105609,
2651,54464,69597,
2652,80425,82651,
2653,57062,76182,
2655,72786,103288,
2657,44646,65485,
2659,67569,99647,
2660,52611,66274,
2663,66109,85199,
2664,46673,59893,
2666,80425,82651,
2667,66118,85193,
2668,71947,99935,
2669,67569,99647,
2670,36555,54887,
2671,55677,85191,
2672,51601,62500,
2673,46414,61552,
2675,63557,80124,
2702,91095,91631,
2703,67398,77813,
2713,68906,98197,
2715,83613,90286,
2717,75793,83033,
2718,81142,82796,
2719,53936,63866,
2720,47794,57117,
2721,32106,42516,
2723,30338,38251,
2724,30652,40877,
2725,65712,67216,
2726,68267,76224,
2738,101006,125277,
2739,74877,92712,
2740,38238,47584,
2743,70836,76925,
2744,31128,48515,
2745,51951,59328,
2746,24099,35477,
2747,72292,79915,
2748,72885,89832,
2760,79274,89441,
2762,73645,82637,
2763,76722,87166,
2764,83621,90292,
2766,77953,90784,
2767,76338,88696,
2769,90530,106149,
2770,95022,97975,
2771,73961,90916,
2777,70245,82590,
2779,81125,90841,
2780,53796,62457,
2790,68367,83137,
2791,72105,100424,
2802,62982,77405,
2804,71104,79440,
2806,105128,131774,
2807,75417,99379,
2808,73725,87590,
2809,65256,80115,
2812,72819,89720,
2813,69956,87827,
2814,79171,84321,
2815,78476,93391,
2816,68135,75982,
2817,81419,95881,
2818,90430,117615,
2822,98411,105363,
2825,73268,95033,
2826,65948,78029,
2827,79051,88882,
2828,78326,92802,
2830,65423,75289,
2831,68687,81386,
2832,71453,81507,
2833,71104,79440,
2835,77813,107319,
2836,72819,89720,
2837,94866,114713,
2838,62982,77405,
2839,65948,78029,
2840,58815,77476,
2841,53958,58483,
2842,70801,83980,
2852,76449,96571,
2857,74686,86941,
2858,65948,78029,
2859,70127,77007,
2860,35154,44984,
2861,53929,61309,
2863,33666,40875,
2864,73450,84792,
2865,75540,94794,
2871,59264,80285,
2872,71705,94978,
2873,71104,79440,
2874,90020,118609,
2875,72819,89720,
2876,80080,88709,
2878,62530,76645,
2879,70848,90447,
2881,47075,60168,
2882,61144,87365,
2885,54317,71228,
2886,59954,71363,
2888,58509,66680,
2889,60122,68714,
2891,61399,74554,
2892,80222,98074,
2893,52342,60430,
2894,72539,88044,
2895,40457,48968,
2896,79213,87184,
2898,72768,89413,
2903,26262,51971,
2904,44102,57490,
2905,34503,46205,
2906,64563,102753,
