ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
1238,51053,6047,173.5997474,1302.5,7870.0
1240,60458,4534,212.0673527,1595.0,5650.0
1242,60604,476,957.7464788999999,0.0,0.0
1243,60320,334,17.90788698,0.0,0.0
1244,57917,151,61.63265306,0.0,0.0
1245,63152,985,35.20371694,0.0,0.0
1247,38405,16087,306.26737230000003,7980.0,78250.0
1253,62955,731,40.01751793,0.0,0.0
1254,79145,972,66.75365703,0.0,0.0
1255,62955,915,17.66204687,0.0,0.0
1256,54167,692,19.30534245,0.0,0.0
1257,47145,2121,58.53456603,0.0,0.0
1258,55764,374,14.49219204,0.0,0.0
1259,57917,635,25.07304746,0.0,0.0
1260,53297,240,95.57945042,0.0,0.0
1262,55096,1238,102.875187,0.0,0.0
1264,63250,137,12.05879764,0.0,0.0
1266,64328,1463,56.15691694,0.0,0.0
1267,69925,7989,146.4420574,1720.0,6317.5
1270,70662,778,24.4208676,0.0,0.0
1301,47833,17700,694.3627163,6615.0,106075.0
1330,70326,1506,45.18994179,0.0,0.0
1331,49110,13263,249.1920938,6522.5,79477.0065
1337,57550,2596,69.74182629,0.0,0.0
1338,56596,187,54.14012739,0.0,0.0
1339,6531,1438,26.15591691,0.0,0.0
1341,70326,1833,51.36468083,0.0,0.0
1342,61912,1492,83.66042391,0.0,0.0
1343,54167,75,15.39724902,0.0,0.0
1344,54836,1498,109.8723779,0.0,0.0
1347,50189,166,287.694974,0.0,0.0
1349,51401,1091,141.9648666,0.0,0.0
1351,50189,2270,108.47749209999999,0.0,0.0
1354,57550,1500,108.9799477,15.0,0.0
1355,67831,878,18.53102575,0.0,0.0
1360,70606,3032,88.43517573,0.0,0.0
1364,44676,7969,203.1301777,1492.5,4222.5
1366,68374,1277,31.60499938,5.0,0.0
1368,61950,1261,30.13718274,0.0,0.0
1370,53003,4084,81.97675586,1535.0,9955.0
1373,61438,4600,190.3894706,375.0,6712.5
1375,59722,3684,258.88966969999996,0.0,0.0
1376,36099,5247,1900.3984059999998,1137.5,12672.5
1378,54836,774,22.75065401,0.0,0.0
1379,54836,813,26.91250952,0.0,0.0
1420,48606,40337,1330.507636,11957.5,83059.1775
1430,79875,6089,164.6610238,1770.0,7223.355000000001
1431,80143,3074,129.6936967,0.0,0.0
1432,55863,7089,839.5310278999999,952.5,7442.5
1434,119016,1795,339.8977466,0.0,0.0
1436,66138,3336,347.6810839,0.0,0.0
1438,66138,559,1031.3653140000001,0.0,0.0
1440,51232,20347,846.3106231,15610.0,144177.3355
1450,123278,10646,325.00915860000003,2352.5,32189.013
1451,141274,4747,248.1183358,0.0,0.0
1452,82443,4382,106.6932872,0.0,0.0
1453,57280,40883,1436.00281,14240.0,122730.0
1460,103751,8924,540.0956242999999,852.5,5292.5
1462,84911,10086,381.26559310000005,5307.5,15635.0
1463,85403,11497,508.7168142,2385.0,22089.8355
1464,72598,7211,480.28506730000004,0.0,0.0
1467,141274,316,166.7546174,0.0,0.0
1468,66138,4021,187.89719630000002,0.0,0.0
1469,78502,6801,297.2335125,2720.0,13455.0
1473,79073,7277,205.37352190000001,485.0,1765.0
1474,78207,2125,214.235306,0.0,0.0
1475,56274,10270,239.66209280000004,4355.0,22132.171000000002
1501,70683,16075,1039.981885,5277.5,61205.0
1503,92917,2866,220.93740359999998,0.0,0.0
1504,74067,9026,814.9887133,2952.5,12910.0
1505,88214,4355,271.1537264,0.0,0.0
1506,60189,3390,218.0625241,0.0,0.0
1507,86561,12981,307.73060239999995,2560.0,31672.5
1510,57957,13606,2406.012378,7192.5,52097.5
1515,71964,2183,221.55688619999998,0.0,0.0
1516,86214,8500,231.2673451,0.0,0.0
1518,72983,2974,335.24969,0.0,0.0
1519,105605,6595,604.3804985,0.0,0.0
1520,92166,13997,774.1275372,5705.0,20729.7035
1521,65917,2481,201.80575890000003,0.0,0.0
1522,82165,3310,202.10037859999997,0.0,0.0
1523,80938,7582,301.01635699999997,22.5,0.0
1524,74316,6696,419.1549296,1672.5,2370.0
1525,89583,290,645.8797327000001,0.0,0.0
1527,68319,13246,850.793243,7802.5,30667.5
1529,77250,3190,650.2242152000001,0.0,0.0
1531,61250,999,48.05425946,0.0,0.0
1532,103271,14155,766.1290323,4112.5,14903.683999999997
1534,76675,5631,642.9550126,0.0,0.0
1535,57196,4680,220.04889980000002,2592.5,7812.5
1536,89347,6888,825.9983211,2897.5,17287.5
1537,68664,2248,321.9246742,1642.5,4515.0
1540,62079,11291,583.363472,4125.0,24592.5
1541,102853,3413,96.38792397,0.0,0.0
