,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
159,1510,57957,13606,2406.012378
160,1515,71964,2183,221.55688619999998
161,1516,86214,8500,231.2673451
162,1518,72983,2974,335.24969
163,1519,105605,6595,604.3804985
164,1520,92166,13997,774.1275372
165,1521,65917,2481,201.80575890000003
166,1522,82165,3310,202.10037859999997
167,1523,80938,7582,301.01635699999997
168,1524,74316,6696,419.1549296
169,1525,89583,290,645.8797327000001
170,1527,68319,13246,850.793243
171,1529,77250,3190,650.2242152000001
172,1531,61250,999,48.05425946
173,1532,103271,14155,766.1290323
174,1534,76675,5631,642.9550126
175,1535,57196,4680,220.04889980000002
176,1536,89347,6888,825.9983211
177,1537,68664,2248,321.9246742
178,1540,62079,11291,583.363472
179,1541,102853,3413,96.38792397
180,1542,67172,2202,546.9448583999999
181,1543,81295,7973,227.1251139
182,1545,88643,35299,1702.058923
183,1550,48195,16719,824.408284
184,1560,68854,4527,1269.133726
185,1561,80938,330,2682.926829
186,1562,65184,11688,355.994152
187,1564,102115,7808,254.8469221
188,1566,72387,6294,221.994921
189,1568,107950,7480,348.880597
190,1569,80536,13569,466.6093535
191,1570,50142,16767,1354.361874
192,1571,64228,11390,547.1489647999999
193,1581,101876,18272,887.6797513
194,1583,79865,7591,601.7439555999999
195,1585,60376,4554,178.2387476
196,1588,67286,9733,1130.035992
197,1590,104730,8875,277.265769
198,1602,61861,22819,3956.823305
199,1603,37454,19916,4412.051396
200,1604,47438,34677,5385.463581
201,1605,41023,26221,4647.465438
202,1606,57646,19077,3217.03204
203,1607,47987,8351,2637.7132030000002
204,1608,26526,3888,8678.571429000001
205,1609,44501,22421,5869.371728
206,1610,21388,23945,11262.93509
207,1611,63333,2242,651.3654852000001
208,1612,100358,4845,316.3565132
209,1701,92018,31217,1840.733534
210,1702,53081,37206,4597.874444
211,1718,84559,469,9978.723404
212,1719,102222,4996,485.7087303
213,1720,110534,21361,1083.599655
214,1721,91904,16593,1345.742092
215,1730,107033,13221,965.1773982000001
216,1731,77369,1396,1764.854614
217,1740,125741,4897,245.4390537
218,1741,155000,4852,317.8512938
219,1742,119902,17726,725.1084022000001
220,1745,114761,397,994.9874687000001
221,1746,101901,13547,726.5754893999999
222,1747,97227,5911,1143.105782
223,1748,121182,14925,568.3332699
224,1749,76500,19063,1654.487068
225,1752,71835,38499,1845.058948
226,1754,76228,10106,1938.6150010000001
227,1756,102625,5839,328.5135591
228,1757,68565,28061,1885.8198920000002
229,1760,90673,32786,2213.625008
230,1770,145250,4119,260.4160081
231,1772,141459,9370,688.1609871
232,1773,143771,5112,375.3303965
233,1775,117440,6590,380.6388263
234,1776,152789,17659,728.5366558
235,1778,140652,13109,861.9805366
236,1801,71805,38903,3074.3638379999998
237,1803,90659,24487,2093.621751
238,1810,113874,33201,1076.242342
239,1821,87745,30310,1829.430227
240,1824,99032,24911,1403.43662
241,1826,71731,29422,1426.382896
242,1827,113594,3179,193.18181819999998
243,1830,63388,25137,1821.785766
244,1832,57959,22060,1941.9014079999997
245,1833,97895,8183,636.3141524
246,1834,84232,6459,727.0373706
247,1835,76253,13682,1751.6323129999998
248,1840,18507,4733,9504.016064
249,1841,34128,47225,15288.119130000001
250,1843,42587,24425,7249.925794
251,1844,66023,47249,2126.513344
252,1845,99505,28352,1077.735964
253,1850,54087,15237,11203.67647
254,1851,51795,30190,9044.337927
255,1852,55089,33508,6765.192812
256,1854,44616,27606,7017.2852060000005
257,1860,75517,6338,749.3497281
258,1862,86304,10227,1106.698409
259,1863,77458,8891,1924.458874
260,1864,97574,14892,1133.333333
261,1867,103358,23956,2411.030596
262,1876,83976,28667,1401.192629
263,1879,92239,11305,673.6384221
264,1880,89830,24733,3580.341633
265,1886,123906,21951,725.2453167
266,1887,97107,22325,1314.9369769999998
267,1890,128546,21382,3545.34903
268,1901,18257,1689,6810.483870999999
269,1902,38107,45139,18784.43612
270,1904,69263,18203,4026.32161
271,1905,42449,25251,7092.977528
272,1906,69051,26660,2467.147881
273,1907,90516,14027,4620.223979
274,1913,73843,16283,1327.81538
275,1915,71363,39502,2617.23978
276,1921,143045,7961,337.9606045
277,1922,91052,3108,324.155194
278,1923,76695,26342,1995.1526170000002
279,1929,76989,3504,250.7872889
280,1930,63047,28789,1099.110449
281,1938,82395,13175,432.93243949999993
282,1940,90677,12108,1147.895336
283,1944,105000,5136,556.5066638
284,1945,95942,19808,4516.187870000001
285,1949,87728,8987,667.979783
286,1950,76313,17416,2086.248203
