BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
4401,PENOBSCOT,BANGOR,ME,7605
74464,CHEROKEE,TAHLEQUAH,OK,7603
87505,SANTA FE,SANTA FE,NM,7602
47905,TIPPECANOE,LAFAYETTE,IN,7601
37129,RUTHERFORD,MURFREESBORO,TN,7598
37075,SUMNER,HENDERSONVILLE,TN,7594
29621,ANDERSON,ANDERSON,SC,7590
62301,ADAMS,QUINCY,IL,7589
32210,DUVAL,JACKSONVILLE,FL,7571
27536,VANCE,HENDERSON,NC,7547
33771,PINELLAS,LARGO,FL,7545
65109,COLE,JEFFERSON CITY,MO,7541
70601,CALCASIEU,LAKE CHARLES,LA,7537
29678,OCONEE,SENECA,SC,7536
99508,ANCHORAGE,ANCHORAGE,AK,7523
19148,PHILADELPHIA,PHILADELPHIA,PA,7520
28403,NEW HANOVER,WILMINGTON,NC,7517
37303,MCMINN,ATHENS,TN,7516
21502,ALLEGANY,CUMBERLAND,MD,7498
70433,SAINT TAMMANY,COVINGTON,LA,7498
89014,CLARK,HENDERSON,NV,7497
90242,LOS ANGELES,DOWNEY,CA,7464
30501,HALL,GAINESVILLE,GA,7447
31904,MUSCOGEE,COLUMBUS,GA,7443
30606,CLARKE,ATHENS,GA,7442
48195,WAYNE,SOUTHGATE,MI,7441
27203,RANDOLPH,ASHEBORO,NC,7434
37821,COCKE,NEWPORT,TN,7424
93003,VENTURA,VENTURA,CA,7408
40741,LAUREL,LONDON,KY,7399
72143,WHITE,SEARCY,AR,7392
2301,PLYMOUTH,BROCKTON,MA,7384
30281,HENRY,STOCKBRIDGE,GA,7367
15401,FAYETTE,UNIONTOWN,PA,7366
70458,SAINT TAMMANY,SLIDELL,LA,7338
41101,BOYD,ASHLAND,KY,7333
33612,HILLSBOROUGH,TAMPA,FL,7326
85710,PIMA,TUCSON,AZ,7321
14304,NIAGARA,NIAGARA FALLS,NY,7295
31501,WARE,WAYCROSS,GA,7289
48060,SAINT CLAIR,PORT HURON,MI,7288
30458,BULLOCH,STATESBORO,GA,7287
32225,DUVAL,JACKSONVILLE,FL,7279
28562,CRAVEN,NEW BERN,NC,7273
19134,PHILADELPHIA,PHILADELPHIA,PA,7270
36867,RUSSELL,PHENIX CITY,AL,7258
98002,KING,AUBURN,WA,7245
43123,FRANKLIN,GROVE CITY,OH,7235
31602,LOWNDES,VALDOSTA,GA,7233
33458,PALM BEACH,JUPITER,FL,7216
40214,JEFFERSON,LOUISVILLE,KY,7208
44109,CUYAHOGA,CLEVELAND,OH,7201
89123,CLARK,LAS VEGAS,NV,7201
42301,DAVIESS,OWENSBORO,KY,7189
70726,LIVINGSTON,DENHAM SPRINGS,LA,7174
14850,TOMPKINS,ITHACA,NY,7167
21234,BALTIMORE,BALTIMORE,MD,7167
73110,OKLAHOMA,MIDWEST CITY,OK,7166
98226,WHATCOM,BELLINGHAM,WA,7165
98003,KING,FEDERAL WAY,WA,7157
21921,CECIL,ELKTON,MD,7154
85712,PIMA,TUCSON,AZ,7152
72703,WASHINGTON,FAYETTEVILLE,AR,7148
97402,LANE,EUGENE,OR,7125
45238,HAMILTON,CINCINNATI,OH,7119
80012,ARAPAHOE,AURORA,CO,7118
47130,CLARK,JEFFERSONVILLE,IN,7114
74401,MUSKOGEE,MUSKOGEE,OK,7102
14094,NIAGARA,LOCKPORT,NY,7096
42141,BARREN,GLASGOW,KY,7081
24502,LYNCHBURG CITY,LYNCHBURG,VA,7079
95926,BUTTE,CHICO,CA,7077
29720,LANCASTER,LANCASTER,SC,7072
46143,JOHNSON,GREENWOOD,IN,7067
62040,MADISON,GRANITE CITY,IL,7063
32177,PUTNAM,PALATKA,FL,7062
75093,COLLIN,PLANO,TX,7060
95823,SACRAMENTO,SACRAMENTO,CA,7043
27320,ROCKINGHAM,REIDSVILLE,NC,7030
32114,VOLUSIA,DAYTONA BEACH,FL,7029
46410,LAKE,MERRILLVILLE,IN,7028
30064,COBB,MARIETTA,GA,7019
72023,LONOKE,CABOT,AR,7017
96720,HAWAII,HILO,HI,7000
26301,HARRISON,CLARKSBURG,WV,6991
73401,CARTER,ARDMORE,OK,6989
72901,SEBASTIAN,FORT SMITH,AR,6979
37917,KNOX,KNOXVILLE,TN,6977
52402,LINN,CEDAR RAPIDS,IA,6965
98208,SNOHOMISH,EVERETT,WA,6953
33607,HILLSBOROUGH,TAMPA,FL,6953
12401,ULSTER,KINGSTON,NY,6951
73099,CANADIAN,YUKON,OK,6946
32960,INDIAN RIVER,VERO BEACH,FL,6945
92021,SAN DIEGO,EL CAJON,CA,6944
34609,HERNANDO,SPRING HILL,FL,6940
53214,MILWAUKEE,WEST ALLIS,WI,6933
19901,KENT,DOVER,DE,6923
72501,INDEPENDENCE,BATESVILLE,AR,6915
17701,LYCOMING,WILLIAMSPORT,PA,6910
46219,MARION,INDIANAPOLIS,IN,6906
95991,SUTTER,YUBA CITY,CA,6906
39466,PEARL RIVER,PICAYUNE,MS,6906
81008,PUEBLO,PUEBLO,CO,6883
27834,PITT,GREENVILLE,NC,6880
14221,ERIE,WILLIAMSVILLE,NY,6878
25701,CABELL,HUNTINGTON,WV,6875
21157,CARROLL,WESTMINSTER,MD,6872
30680,BARROW,WINDER,GA,6864
