ZIP_CODE,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
1770,4119,260.4160081
1772,9370,688.1609871
1773,5112,375.3303965
1775,6590,380.6388263
1776,17659,728.5366558
1778,13109,861.9805366
1801,38903,3074.363838
1803,24487,2093.621751
1810,33201,1076.242342
1821,30310,1829.430227
1824,24911,1403.43662
1826,29422,1426.382896
1827,3179,193.1818182
1830,25137,1821.785766
1832,22060,1941.901408
1833,8183,636.3141524
1834,6459,727.0373706
1835,13682,1751.632313
1840,4733,9504.016064
1841,47225,15288.11913
1843,24425,7249.925794
1844,47249,2126.513344
1845,28352,1077.735964
1850,15237,11203.67647
1851,30190,9044.337927
1852,33508,6765.192812
1854,27606,7017.285206
1860,6338,749.3497281
1862,10227,1106.698409
1863,8891,1924.458874
1864,14892,1133.333333
1867,23956,2411.030596
1876,28667,1401.192629
1879,11305,673.6384221
1880,24733,3580.341633
1886,21951,725.2453167
1887,22325,1314.936977
1890,21382,3545.34903
1901,1689,6810.483871
1902,45139,18784.43612
1904,18203,4026.32161
1905,25251,7092.977528
1906,26660,2467.147881
1907,14027,4620.223979
1908,3410,3260.038241
1913,16283,1327.81538
1915,39502,2617.23978
1921,7961,337.9606045
1922,3108,324.155194
1923,26342,1995.152617
1929,3504,250.7872889
1930,28789,1099.110449
1937,151,2068.493151
1938,13175,432.9324395
1940,12108,1147.895336
1944,5136,556.5066638
1945,19808,4516.18787
1949,8987,667.979783
1950,17416,2086.248203
1951,3558,258.4816564
1952,8283,537.717476
1960,50944,3184.597112
1966,6952,994.2791762
1969,5856,334.7816145
1970,41109,5069.552349
1982,7764,547.3387381
1983,6089,510.6936174
1984,4875,636.4229765
1985,4235,314.8464798
2019,16332,890.0757534
2021,21561,1147.044741
2025,7542,770.456635
2026,24711,2412.241312
2030,5589,369.667306
2032,4226,1805.982906
2035,16865,849.7077791
2038,31635,1188.12439
2043,22157,1000
2045,10293,3872.460497
2047,180,753.1380753
2048,23184,1153.375454
2050,25429,874.4798652
2052,12024,834.8840439
2053,12752,1104.738803
2054,7891,656.3799701
2056,10981,738.5163764
2061,10506,501.695239
2062,28602,2761.343889
2066,17656,1043.067289
2067,17486,771.2597036
2071,1707,1759.793814
2072,26999,1677.68595
2081,18472,1030.803571
2090,14636,1343.368518
2093,10955,504.6991615
2108,3825,27919.70803
2109,3771,21672.41379
2110,1733,9418.478261
2111,7383,27344.44444
2113,6915,69150
2114,11999,26664.44444
2115,28441,40114.24542
2116,20628,32690.96672
2118,26498,24177.0073
2119,25346,15861.07635
2120,15181,24446.05475
2121,25978,14887.10602
2122,23479,11537.59214
2124,47783,15911.75491
2125,33295,15616.79174
2126,25562,12277.61768
2127,31799,15718.73455
2128,40508,8350.443208
2129,16439,12159.02367
2130,35401,10618.17636
2131,29826,11506.94444
2132,25861,5670.028503
2134,21503,16216.44042
2135,42780,16235.29412
2136,28488,6206.535948
2138,36314,13253.28467
2139,36349,23330.55199
2140,17607,15257.36568
2141,11910,18551.40187
2142,3141,11298.56115
2143,24514,15887.23266
2144,23891,22080.40665
2145,25439,18222.77937
2148,59503,11794.44995
2149,41550,12127.84588
2150,35124,15907.6087
2151,51808,8837.93927
2152,17497,8872.718053
2155,57964,7071.367574
2163,2582,26080.80808
2169,55055,6136.99699
2170,19505,9363.898224
2171,17711,7223.083197
2176,26983,5766.830519
2180,21437,3561.555076
2184,35744,2599.752709
2186,27003,2075.39774
2188,14608,3927.937618
2189,14559,3806.27451
2190,16119,2264.540601
2191,8457,4178.359684
2199,1146,20105.26316
2203,0,0
2210,2090,2165.803109
2215,26125,34150.3268
2301,61025,4907.913785
2302,32741,3682.902137
2322,4356,1015.384615
2324,26563,972.4337385
2330,11509,307.6532385
2332,15059,634.3836886
2333,13794,801.5573247
2338,7518,469.786915
2339,13879,889.1665065
2341,10218,678.7113916
2343,10745,1533.466533
2346,23106,335.5114131
2347,10612,356.5141437
2351,16029,1660.176075
2356,12564,916.6119501
2357,1360,2827.442827
2359,17828,818.661891
2360,56271,589.2127914
2364,12629,676.9041111
2366,197,208.0253432
2367,2820,192.176639
2368,32158,3191.544264
2370,17489,1696.149743
2375,9188,630.697419
2379,6916,451.4065662
2382,14489,2087.752161
2420,14052,2134.264885
2421,17342,1760.609137
2445,20679,7944.295044
2446,29311,22774.66977
2451,17426,3155.169292
2452,14238,3849.148418
2453,28968,8278.936839
2457,1432,8950
2458,12131,6059.440559
2459,19095,3815.184815
2460,8742,6504.464286
2461,7059,4851.546392
2462,1554,2937.618147
2464,2953,5226.548673
2465,11710,5220.68658
2466,8096,4520.379676
2467,22491,4616.37931
2468,5273,3562.837838
2472,32014,7941.949888
2474,26312,8621.231979
2476,16532,7894.937918
2478,24664,5307.510222
2481,16244,2879.120879
2482,10306,2449.144487
2492,19931,2092.054162
2493,11261,669.3016345
2494,8955,3236.357065
2532,12690,890.2764136
2534,842,368.3289589
2535,1177,48.28916058
2536,19583,707.4527654
2537,6293,520.2116227
2538,3603,791.6941332
2539,4067,151.7141045
2540,8221,767.0990016
2542,1139,37.07078926
2543,635,63.93475634
2553,226,918.699187
2554,9852,251.7890002
2556,3115,805.5340057
2557,4491,623.3171409
2558,2156,1754.271766
2559,3376,670.9062003
2561,539,876.4227642
2562,2977,889.4532417
2563,10359,784.6538403
2564,310,53.74479889
